greeter	screener	dispenser	medic	resources	throughput	time
4	1	6	1	12	351.0	29.3506830432
4	1	14	1	20	359.666666667	28.5429442741
12	4	6	1	23	479.0	43.6415797432
15	1	14	1	31	1083.0	38.4773584019
12	4	16	1	33	1046.33333333	27.3821447921
15	1	16	1	33	1177.66666667	36.2966443298
15	4	16	1	36	1203.0	29.237544245
12	4	21	1	38	1065.66666667	26.8000783477
15	1	21	1	38	1275.33333333	33.7457599225
18	4	16	1	39	1225.33333333	32.0547241481
18	1	21	1	41	1454.66666667	37.1475658856
12	4	25	1	42	1072.0	27.1504673674
18	4	20	1	43	1512.66666667	27.2369617355
15	7	20	2	44	1332.33333333	26.5024282773
15	4	25	1	45	1310.66666667	26.3477742942
22	1	21	1	45	1602.66666667	42.5736618446
18	7	20	1	46	1527.66666667	26.7501217478
18	7	21	1	47	1578.0	26.2974854862
20	1	25	1	47	1597.33333333	39.0786303047
18	4	25	1	48	1590.66666667	25.5297453984
22	1	25	1	49	1703.0	41.8699668689
20	4	25	1	50	1764.33333333	25.1759603546
24	1	25	1	51	1805.66666667	40.7930422641
22	4	25	1	52	1798.0	26.7946673283
24	1	27	1	53	1860.0	39.7811628248
22	4	27	1	54	1933.0	24.802479908
25	1	27	1	54	1948.0	41.0204271836
25	3	27	1	56	2051.66666667	26.4692213049
24	4	27	2	57	2032.33333333	25.5016395877
22	3	32	1	58	1971.33333333	24.8700857312
22	4	32	1	59	1937.66666667	24.6676698269
24	3	32	1	60	2118.0	24.333836278
24	4	32	1	61	2126.66666667	24.2723868623
25	3	32	1	61	2194.33333333	24.5620177685
25	4	32	1	62	2187.66666667	24.3649308326
25	5	32	2	64	2181.0	24.1547809933
25	3	35	1	64	2208.66666667	24.2162282193
25	7	32	1	65	2215.0	24.156716789
31	3	32	1	67	2379.33333333	27.238729782
25	4	38	1	68	2195.33333333	24.0258383629
31	4	32	1	68	2453.33333333	25.6997537896
31	4	35	1	71	2611.33333333	24.7099980799
25	7	40	1	73	2215.66666667	24.1539158887
31	5	38	1	75	2733.66666667	23.1450114857
31	4	40	1	76	2717.66666667	23.0880601695
31	5	40	1	77	2725.66666667	22.9175318819
31	4	38	5	78	2743.66666667	23.2794959824
31	9	38	1	79	2759.66666667	22.8599177062
35	3	40	1	79	2934.66666667	26.4610727666
36	5	38	1	80	2874.66666667	24.3054473869
35	5	40	1	81	2981.33333333	23.2172428578
35	4	42	1	82	3052.66666667	22.3421399398
36	4	42	1	83	3090.0	22.8237923722
35	4	45	1	85	3072.66666667	22.4485171383
36	4	45	1	86	3166.66666667	22.1617670761
38	5	42	1	86	3187.33333333	22.7722387679
36	5	45	1	87	3186.66666667	21.693272959
38	4	45	1	88	3304.66666667	21.8161453082
40	4	45	1	90	3312.66666667	22.8571048487
40	5	45	1	91	3386.66666667	21.8524014517
38	4	53	1	96	3326.33333333	21.4473862524
38	5	53	1	97	3353.33333333	21.3430898102
40	5	52	1	98	3541.33333333	20.7338941711
42	4	52	1	99	3650.0	22.3564151606
42	4	53	1	100	3666.33333333	22.047221651
42	5	53	1	101	3731.0	20.3642718761
46	4	53	1	104	3946.66666667	22.5375694103
47	4	53	1	105	3997.66666667	23.2316984628
46	5	53	2	106	3899.0	20.7070109423
45	11	52	1	109	3880.66666667	20.3005481433
50	5	53	1	109	3929.33333333	22.4748506468
45	11	53	1	110	3902.33333333	20.2429170843
50	4	55	1	110	4131.66666667	24.2690759786
46	11	53	1	111	3957.33333333	20.0007815834
45	11	55	1	112	3980.33333333	19.885574973
47	11	53	1	112	3991.66666667	20.7337672436
47	4	60	1	112	4036.33333333	22.8229966789
46	11	57	1	115	4053.0	19.5347022901
53	4	57	1	115	4273.0	25.6690984651
46	13	57	1	117	4043.66666667	19.4799724242
50	13	53	1	117	4070.66666667	20.6266472363
53	4	60	1	118	4392.66666667	24.5219809792
50	11	57	1	119	4215.0	19.5373837938
50	13	57	1	121	4253.0	19.4755539985
53	13	57	1	124	4341.66666667	19.8059330432
50	20	58	1	129	4300.66666667	19.1924747808
47	39	60	1	147	4180.66666667	19.1589007428
53	39	60	1	153	4421.0	19.2335844416
