greeter	screener	dispenser	medic	resources	throughput	time
15	1	6	1	23	490.0	45.8086862842
4	22	6	1	33	361.666666667	28.7288619609
4	1	27	1	33	363.0	29.0788900293
15	1	19	1	36	1310.33333333	27.0170777109
15	1	26	1	43	1311.33333333	26.8518408684
15	1	27	1	44	1324.0	26.9421415461
22	2	19	1	44	1424.0	32.4849795386
18	1	26	1	46	1596.66666667	26.6313712654
18	4	26	1	49	1586.66666667	25.7721674159
22	1	26	1	50	1932.0	27.274507065
18	1	31	1	51	1590.66666667	26.2209039135
22	1	27	1	51	1943.66666667	27.013887444
18	7	26	1	52	1584.33333333	25.764841777
24	1	26	1	52	1954.33333333	30.0420592391
22	4	26	1	53	1871.0	25.6232402367
24	1	27	1	53	1998.66666667	28.5916869031
22	6	25	1	54	1878.66666667	25.7321591149
25	1	27	1	54	2058.66666667	29.3821632384
22	6	27	1	56	1935.66666667	24.8725716254
22	2	31	1	56	1966.0	24.9415175116
24	4	27	1	56	2057.66666667	25.4621461314
24	1	31	1	57	2089.33333333	27.7562129681
24	2	31	1	58	2111.33333333	24.45850105
25	1	31	1	58	2161.0	29.2721669496
24	4	31	1	60	2130.66666667	24.4634345637
24	6	30	1	61	2114.0	24.4042038092
24	2	35	1	62	2126.66666667	24.2720752961
24	4	35	1	64	2104.66666667	24.2366389001
25	7	31	1	64	2207.33333333	24.4001330541
31	1	31	1	64	2359.0	34.8553589562
31	2	31	1	65	2315.66666667	27.2705615827
24	4	37	1	66	2132.33333333	24.3573749667
25	4	37	1	67	2202.33333333	24.0680000211
31	4	31	1	67	2388.66666667	26.3005848798
31	1	35	1	68	2631.66666667	32.8174881241
31	2	35	1	69	2564.33333333	24.9820165105
25	6	38	1	70	2209.33333333	24.2227801812
31	1	37	1	70	2631.0	32.615953801
31	2	37	1	71	2723.66666667	23.3104444864
31	4	37	1	73	2728.66666667	23.3341712421
31	4	38	1	74	2729.33333333	22.9742978123
31	2	41	1	75	2725.66666667	22.9485279723
31	6	38	1	76	2752.33333333	23.1272977635
31	3	41	2	77	2750.0	22.7890373015
31	4	42	1	78	2718.33333333	22.7405340304
38	1	38	1	78	2915.33333333	35.6074924064
31	2	45	1	79	2768.66666667	23.0036099588
38	2	38	1	79	2868.0	25.9703318849
31	4	45	1	81	2751.66666667	22.6915153039
38	1	41	1	81	3030.66666667	36.0596953001
38	6	37	1	82	2888.33333333	25.3465206897
38	3	41	1	83	3106.0	23.264878069
38	3	42	1	84	3120.66666667	23.5257395654
38	4	42	1	85	3191.66666667	22.5887014684
38	1	45	1	85	3216.66666667	33.5347006217
38	2	45	1	86	3295.33333333	22.2400399975
38	3	45	1	87	3312.33333333	21.7689721078
38	2	47	1	88	3320.0	22.1719032833
38	3	47	1	89	3345.0	21.0263317759
42	1	45	1	89	3349.66666667	36.3261873803
38	4	47	1	90	3361.0	21.2452014808
42	2	45	1	90	3380.0	24.244757599
38	4	48	1	91	3367.0	21.3727749452
42	1	47	1	91	3489.33333333	35.1283827959
42	4	45	1	92	3382.33333333	22.9242873357
42	2	47	1	92	3466.66666667	24.509600389
38	2	52	1	93	3370.0	21.8198814561
42	2	48	1	93	3555.33333333	22.3263901388
42	3	48	1	94	3600.66666667	21.7167898992
42	4	48	1	95	3568.0	21.4187162313
38	3	55	1	97	3375.66666667	21.1906497428
42	2	52	1	97	3700.33333333	21.571205488
42	3	52	1	98	3681.0	20.4636561444
42	3	55	1	101	3726.66666667	20.2971137377
42	4	55	1	102	3676.66666667	20.2782636784
42	2	57	1	102	3730.0	22.1886034854
47	3	52	1	103	3863.33333333	21.1894830316
42	3	59	1	105	3714.33333333	20.2318761112
50	2	52	1	105	3946.33333333	26.113542385
47	3	55	1	106	4089.33333333	19.7661261179
47	3	57	1	108	4136.33333333	19.6726325166
50	2	57	1	110	4237.33333333	24.1675247808
47	3	60	1	111	4149.33333333	19.4131139387
50	2	59	1	112	4296.33333333	23.2195725787
50	3	59	1	113	4356.66666667	19.1754479659
50	3	60	1	114	4386.33333333	19.1178782311
55	3	59	1	118	4428.33333333	20.7737294951
55	3	60	1	119	4430.0	20.2190952956
50	20	57	1	128	4336.66666667	19.1002733474
54	14	59	1	128	4399.66666667	20.0357467268
54	14	60	1	129	4482.33333333	19.4650090957
50	39	60	1	150	4374.66666667	19.0323637057
