greeter	screener	dispenser	medic	resources	throughput	time
1	1	2	1	5	172.0	54.5542628448
1	1	3	1	6	229.666666667	55.8293166386
1	1	4	1	7	326.0	55.234809178
1	1	5	1	8	375.0	55.1401735505
1	4	3	1	9	231.666666667	54.6140931951
1	1	7	1	10	513.333333333	53.2807099528
1	4	5	1	11	387.0	52.1763928278
1	1	9	1	12	700.0	53.4734207235
1	4	7	1	13	549.666666667	51.897169241
1	1	12	1	15	899.666666667	50.504622606
1	1	13	1	16	968.0	51.3836250476
1	3	12	1	17	884.333333333	50.1873815286
1	1	14	1	17	1012.33333333	51.1338818104
1	4	12	1	18	906.333333333	49.6758929763
1	1	16	1	19	1210.33333333	48.2440917287
1	4	16	1	22	1236.0	48.1868926733
1	1	20	1	23	1552.66666667	45.2351381793
1	1	21	1	24	1556.0	45.3635922797
1	17	6	1	25	476.333333333	45.0137482657
1	4	21	1	27	1608.0	45.0890302165
1	17	9	1	28	700.666666667	44.092963644
1	1	26	1	29	2030.66666667	43.8246049483
1	1	27	1	30	2047.66666667	42.0585277485
1	27	3	1	32	226.333333333	39.0122049817
1	4	26	1	32	1978.0	41.2462780388
1	29	2	1	33	175.0	37.0783626537
1	4	27	1	33	2010.33333333	42.0082483058
1	30	2	1	34	149.0	35.6885307144
1	28	4	1	34	308.333333333	39.6915265573
1	30	3	1	35	238.0	37.5025403538
1	1	32	1	35	2446.66666667	38.1522740324
1	30	5	1	37	380.333333333	36.6246941487
1	3	33	1	38	2539.33333333	38.9639444913
1	33	4	1	39	317.333333333	34.3826757417
1	1	36	1	39	2797.33333333	35.5667416156
1	33	5	1	40	412.333333333	34.6672348444
1	37	3	1	42	247.666666667	31.1257261781
1	37	4	1	43	344.333333333	32.63092566
1	1	40	1	43	3037.66666667	34.1953807983
1	39	3	1	44	272.333333333	31.163771375
1	35	7	1	44	525.0	33.8931922831
1	1	41	1	44	3112.0	34.7623005699
1	40	3	1	45	246.0	30.6281374822
1	39	4	1	45	340.333333333	31.0491326736
