greeter	screener	dispenser	medic	resources	throughput	time
1	1	2	1	5	152.333333333	54.1761295083
1	1	4	1	7	295.333333333	55.58501327
1	4	2	1	8	167.0	49.9956594404
1	1	5	1	8	375.666666667	56.5057921304
1	1	6	1	9	472.333333333	55.8670480525
1	6	2	1	10	170.333333333	43.7443639313
1	4	4	1	10	303.666666667	49.8706055975
1	3	5	1	10	405.666666667	51.2845051621
1	6	3	1	11	247.0	44.1511787279
1	5	4	1	11	321.666666667	46.1105828013
1	4	5	1	11	378.0	47.3429896866
1	8	2	1	12	151.333333333	40.2802914774
1	7	3	1	12	248.666666667	41.2080560117
1	6	4	1	12	301.666666667	44.3483778439
1	5	5	1	12	368.666666667	45.9852102495
1	4	6	1	12	470.333333333	49.4857795061
1	6	5	1	13	386.666666667	44.3680801157
1	10	2	1	14	153.666666667	30.9718472881
1	5	6	2	14	484.666666667	47.2047068981
1	10	3	1	15	229.333333333	33.5089888997
1	6	6	2	15	462.0	43.2225899679
1	1	12	1	15	913.333333333	53.2653246767
1	10	4	1	16	330.666666667	34.7670564454
1	10	5	1	17	391.333333333	34.2061314355
1	6	9	1	17	650.0	42.0450781266
1	3	12	1	17	923.0	49.1733311692
1	1	14	1	17	1099.33333333	53.5114452874
1	14	2	1	18	178.666666667	27.0768343287
1	4	12	1	18	906.666666667	46.5510721592
1	12	5	1	19	374.666666667	29.0908296252
1	11	6	1	19	486.333333333	32.2036677972
1	5	12	1	19	909.0	44.8950037337
1	1	16	1	19	1171.33333333	53.7923695392
1	15	3	1	20	227.666666667	27.2341977175
1	12	6	1	20	448.333333333	30.7666161484
1	6	12	1	20	921.666666667	41.8460635283
1	4	14	1	20	1082.33333333	46.3691316346
1	14	5	1	21	412.0	28.5907811666
1	10	9	1	21	663.333333333	33.8742264908
1	5	14	1	21	1112.0	43.5620658182
1	3	16	1	21	1260.66666667	48.4559213196
1	17	3	1	22	254.0	28.4272502168
1	11	9	1	22	677.333333333	31.3109029587
1	8	12	1	22	922.333333333	36.896498406
1	4	16	1	22	1198.0	46.1951542438
1	14	6	2	23	461.0	27.5440334782
1	12	9	1	23	685.333333333	29.8647613712
1	7	14	1	23	1083.0	40.2778134238
1	5	16	1	23	1211.66666667	44.4456327924
1	1	20	1	23	1532.33333333	51.9539687758
1	1	21	1	24	1646.0	51.4803817648
1	14	9	1	25	708.0	28.2791641299
1	11	12	1	25	936.333333333	30.7155527287
1	15	9	1	26	693.666666667	27.7943236513
1	10	14	1	26	1046.0	33.3467091167
1	8	16	1	26	1266.66666667	37.2404403134
1	3	21	1	26	1531.33333333	47.3075611
1	11	14	1	27	1079.0	30.7602727701
1	14	12	1	28	911.0	26.3945127882
1	12	14	1	28	1068.66666667	28.1583857338
1	10	16	1	28	1250.33333333	32.6552164495
1	5	21	1	28	1591.33333333	42.1335644499
1	1	25	1	28	1958.33333333	50.7640253884
1	11	16	1	29	1185.33333333	31.4200132384
1	7	20	1	29	1529.0	38.3878206675
1	6	21	1	29	1610.33333333	39.7464748691
1	12	16	1	30	1176.0	28.432068623
1	7	21	1	30	1636.66666667	37.4836426221
1	1	27	1	30	2052.66666667	50.2845022418
1	14	14	2	31	1106.66666667	26.643563885
1	8	21	1	31	1663.33333333	35.4803798338
1	4	25	1	31	1896.0	44.0469125499
1	18	12	1	32	896.666666667	26.2574628174
1	14	16	1	32	1223.33333333	26.4287104135
1	15	16	1	33	1233.33333333	25.8356334487
1	10	21	1	33	1606.66666667	31.9061898297
1	6	25	1	33	1935.66666667	40.140728187
1	4	27	1	33	2086.0	42.9953085297
1	1	30	1	33	2258.0	49.2460284534
1	11	21	1	34	1640.33333333	29.8098044536
1	7	25	1	34	1883.0	36.9388716079
1	5	27	1	34	2066.66666667	41.9891780684
1	1	31	1	34	2381.33333333	49.8644610903
1	13	20	1	35	1561.0	26.2220843939
1	12	21	1	35	1613.33333333	27.3034053139
1	1	32	1	35	2431.0	49.5491140429
1	14	20	1	36	1508.66666667	25.5247357918
1	9	25	1	36	1898.0	34.0091184902
1	7	27	1	36	2041.66666667	37.335969215
1	4	30	1	36	2308.0	42.4725993999
1	4	31	1	37	2360.33333333	42.8099488573
1	1	34	1	37	2571.33333333	49.1024640851
1	15	21	1	38	1606.66666667	25.080035252
1	6	30	1	38	2295.33333333	38.4769821095
1	3	33	1	38	2504.66666667	44.9450386162
1	1	35	1	38	2634.66666667	48.8842865251
1	10	27	1	39	2079.0	30.953712516
1	4	33	1	39	2526.0	42.4715616441
1	1	36	1	39	2787.33333333	48.2840578366
1	13	25	1	40	1926.0	25.2930811766
1	6	32	1	40	2406.33333333	37.7986775592
1	4	34	1	40	2554.0	42.5837033112
1	8	31	1	41	2348.0	34.5083650783
1	7	32	1	41	2466.33333333	35.6048454523
1	4	35	1	41	2739.66666667	41.8878703486
1	1	38	1	41	2857.66666667	47.9701421925
1	13	27	1	42	2069.0	23.7067878069
1	10	30	1	42	2337.66666667	29.0563093823
1	6	34	1	42	2524.0	37.9546663824
1	4	36	1	42	2809.0	41.0157185879
1	14	27	1	43	2098.66666667	24.0113171528
1	11	30	1	43	2273.0	28.3096210641
1	10	31	1	43	2402.0	29.9636366959
1	9	31	2	43	2408.33333333	32.2449036721
1	8	33	1	43	2528.0	33.7192967155
1	5	36	1	43	2721.33333333	39.8160680782
1	3	38	1	43	2922.33333333	43.7174716379
1	1	40	1	43	2994.0	46.9271370589
1	15	27	1	44	2115.0	24.355135682
1	12	30	1	44	2321.66666667	25.9330003364
1	11	31	1	44	2418.66666667	27.5247339086
1	7	35	1	44	2744.66666667	34.8045243185
1	6	36	1	44	2804.0	37.6259373358
1	5	37	1	44	2857.66666667	38.8281939626
1	4	38	1	44	2939.0	41.4798063324
1	1	41	1	44	3156.0	46.5918022817
1	11	32	1	45	2443.66666667	26.6704352511
1	10	33	1	45	2494.0	28.8098284461
1	5	38	1	45	2897.0	38.8036774241
1	3	40	1	45	3088.33333333	43.367725523
1	14	30	1	46	2333.66666667	23.6013394385
1	11	33	1	46	2553.0	26.9495986179
1	10	34	1	46	2563.33333333	28.9015715714
1	6	38	1	46	2921.33333333	37.3390419125
1	4	40	1	46	3038.0	41.4209253292
1	15	30	1	47	2311.0	23.5903119021
1	12	33	1	47	2480.0	24.5048225603
1	10	35	1	47	2689.33333333	28.6406591689
1	7	38	1	47	2878.66666667	34.5218945042
1	5	40	1	47	3041.66666667	38.597074034
1	4	41	1	47	3108.0	40.2482516116
1	12	34	1	48	2628.33333333	25.2349937934
1	8	38	1	48	2909.0	32.6385301796
1	7	39	1	48	2949.0	34.2297996164
1	6	40	1	48	3057.0	35.8377611764
1	5	41	1	48	3130.33333333	37.8553885666
1	4	42	1	48	3258.0	40.3328725357
1	11	36	1	49	2737.33333333	26.2872394499
1	10	37	1	49	2844.66666667	28.1399316904
1	9	38	1	49	2887.33333333	30.3374922195
1	1	46	1	49	3543.66666667	46.6008167536
1	14	34	1	50	2598.66666667	23.1688991582
1	12	36	1	50	2707.33333333	24.4861099211
1	11	37	1	50	2881.33333333	26.066299959
1	10	38	1	50	2907.33333333	28.7712202246
1	7	41	1	50	3176.0	34.1542777199
1	6	42	1	50	3284.0	37.0153407906
1	14	35	1	51	2649.66666667	23.01533325
1	12	37	1	51	2839.33333333	24.3526926041
1	7	42	1	51	3266.66666667	33.7636742635
1	3	46	1	51	3434.66666667	41.5949010002
1	1	48	1	51	3643.66666667	44.3473108807
1	14	36	1	52	2756.33333333	22.5454033531
