greeter	screener	dispenser	medic	resources	throughput	time
3	5	3	3	14	109.333333333	27.6154326584
3	3	5	3	14	111.0	28.4947297509
4	3	4	4	15	139.333333333	28.570580295
5	4	3	3	15	177.333333333	30.3563854375
6	3	3	3	15	209.0	31.157453586
6	3	4	3	16	221.666666667	28.5893567498
7	3	3	3	16	232.333333333	32.2953480966
7	4	4	3	18	244.333333333	28.7572593891
6	3	5	5	19	219.666666667	27.7610656827
6	5	5	3	19	219.666666667	27.7610656827
6	3	7	3	19	220.0	27.9781321137
8	3	5	3	19	280.0	28.6868733838
7	3	7	3	20	250.0	27.9259198883
7	3	5	5	20	253.0	28.3156143841
7	3	8	3	21	253.0	28.1496338641
8	3	6	4	21	277.0	28.4224319845
8	3	7	3	21	284.333333333	28.6876397733
8	3	8	3	22	288.666666667	28.6091228335
7	5	9	5	26	253.666666667	28.4062769652
8	3	10	5	26	288.333333333	28.5454131337
8	6	9	5	28	287.333333333	28.4703796525
