greeter	screener	dispenser	medic	resources	throughput	time
3	3	4	4	14	108.666666667	28.4829573627
5	3	3	4	15	178.333333333	30.2164802819
5	3	5	3	16	180.333333333	28.9809612416
7	3	3	3	16	237.666666667	30.1433381316
4	6	3	4	17	143.0	28.9596061673
7	3	4	3	17	251.0	29.2397511565
8	3	4	3	18	268.333333333	30.7975089473
7	4	5	3	19	255.666666667	28.391615134
7	3	5	4	19	255.666666667	28.391615134
8	3	5	3	19	283.666666667	29.0071240736
7	3	7	3	20	260.0	28.7174494738
7	3	8	3	21	245.666666667	27.689600144
7	4	7	3	21	253.333333333	28.3762571593
8	3	7	3	21	277.666666667	28.9495342624
8	4	5	4	21	285.0	29.1550839832
8	4	7	3	22	279.333333333	28.8971080295
8	3	8	3	22	287.0	29.0497202488
8	5	7	3	23	278.666666667	28.5999647395
8	4	8	3	23	287.666666667	28.7229686894
7	3	10	4	24	256.333333333	28.3488174221
7	4	10	3	24	257.0	28.4863520792
8	3	10	3	24	292.333333333	28.9970340976
7	5	9	5	26	254.0	28.1587149183
7	5	10	4	26	254.666666667	28.2281787389
8	4	12	3	27	287.333333333	28.5597216714
8	6	10	3	27	290.0	28.602134717
8	5	10	4	27	290.0	28.602134717
8	4	10	6	28	289.0	28.5279104417
