greeter	screener	dispenser	medic	resources	throughput	time
1	1	1	21	24	80.3333333333	66.4648742073
15	1	1	11	28	90.0	64.202041428
1	20	6	11	38	484.666666667	35.3340007759
4	6	25	7	42	1864.33333333	34.1389665309
8	1	27	6	42	1975.0	47.524389653
15	1	27	6	49	2038.66666667	49.0844085011
15	3	27	6	51	2053.33333333	47.3516839726
1	20	27	6	54	640.666666667	27.9737332453
8	8	38	1	55	2878.0	49.8870156378
9	8	38	1	56	2888.0	54.9046237945
24	1	27	6	58	2120.66666667	45.0620172867
4	6	47	7	64	2109.66666667	30.8212195349
20	6	38	1	65	2914.0	51.0714347467
5	24	38	1	68	2874.33333333	35.3189886102
24	6	38	1	69	2899.0	46.6093275096
15	6	38	11	70	2947.0	40.9748019538
15	3	55	2	75	4040.66666667	33.9410944442
9	24	38	5	76	2930.33333333	31.2615099737
5	24	38	11	78	2943.33333333	23.4841373002
15	3	55	5	78	4045.66666667	33.945932176
7	14	47	11	79	3602.33333333	23.9755016923
15	3	57	7	82	4179.66666667	32.8215711219
20	3	55	5	83	4192.33333333	33.2070097582
5	20	57	4	86	3100.66666667	22.1860150814
24	3	55	5	87	4197.33333333	33.0209777925
24	1	57	7	89	4269.33333333	31.8831228534
13	13	57	7	90	4315.66666667	30.9922307594
5	28	47	11	91	3090.66666667	21.8242249907
5	20	57	11	93	3095.66666667	21.7335580059
8	29	52	4	93	3982.33333333	27.064999557
24	8	59	2	93	4482.33333333	37.5521614826
17	13	57	7	94	4343.66666667	31.680720956
22	8	57	7	94	4353.33333333	32.1089351164
18	13	57	7	95	4345.33333333	30.8519863539
6	27	52	11	96	3674.66666667	20.6075353284
20	6	59	11	96	4500.33333333	31.2818972598
6	20	60	11	97	3700.33333333	20.6166943323
18	13	57	11	99	4331.33333333	30.8510470427
8	29	52	11	100	3954.66666667	22.9432683671
8	29	57	7	101	4358.66666667	20.6965951961
24	13	57	7	101	4397.33333333	30.4540972638
24	8	59	11	102	4543.66666667	31.3886508889
18	13	59	16	106	4468.66666667	30.5199328391
7	35	57	11	110	4259.0	19.2445608436
16	26	60	11	113	4632.0	24.1193614579
7	35	60	14	116	4308.0	18.911163468
23	26	60	11	120	4619.66666667	24.0812217979
16	26	60	21	123	4617.66666667	23.9314486149
18	39	60	13	130	4480.33333333	20.0445913086
19	40	60	13	132	4565.0	17.7487404095
13	37	60	23	133	4617.0	21.378031705
18	37	60	23	138	4568.33333333	18.4583193952
46	39	60	21	166	4650.33333333	17.3339390912
22	58	60	32	172	4651.0	17.4162091605
