greeter	screener	dispenser	medic	resources	throughput	time
4	8	5	1	18	398.333333333	65.5717824094
4	6	12	5	27	971.0	47.9382303724
4	6	12	7	29	960.333333333	47.8763511097
1	33	5	1	40	399.666666667	42.8556591251
4	6	25	6	41	1639.66666667	35.8268338905
4	6	25	7	42	1635.33333333	35.8076207709
7	6	25	6	44	1871.66666667	40.7021562367
5	12	25	6	48	1892.0	35.7462702704
15	1	27	6	49	2018.0	35.5250095797
8	6	38	1	53	2117.33333333	53.2950046983
22	1	27	6	56	2049.33333333	34.3027759049
12	6	38	1	57	2601.0	43.2271496084
24	1	27	6	58	2069.33333333	33.0979948122
13	6	38	1	58	2729.33333333	44.8615029733
13	6	38	4	61	2733.33333333	34.8737356982
18	6	38	1	63	2909.0	47.3560338481
20	6	38	1	65	2922.33333333	42.3880433469
15	12	39	1	67	2995.33333333	55.0067106882
8	14	41	6	69	3078.0	31.0404163586
18	8	48	1	75	3634.33333333	39.7645586039
18	8	48	3	77	3524.0	30.9280668726
20	6	38	14	78	2929.66666667	30.6077426908
5	14	41	19	79	3025.0	22.8472374675
6	20	53	1	80	3676.0	33.4048817738
18	8	48	7	81	3582.33333333	26.8983936931
5	15	42	21	83	3049.66666667	22.3858330513
5	15	58	7	85	3079.66666667	22.0406247091
5	15	58	11	89	3085.0	21.9964046495
20	6	57	6	89	3509.66666667	26.3693918578
8	29	52	1	90	3929.66666667	41.2751650821
24	13	52	1	90	3948.33333333	44.0305307617
18	13	57	3	91	4396.0	26.0589217502
7	35	46	6	94	3509.33333333	25.5707777959
18	13	57	7	95	4316.66666667	25.40475596
24	8	59	6	97	3897.66666667	25.1997139984
20	13	57	7	97	4251.66666667	25.3525783616
6	29	52	11	98	3684.0	20.360661085
18	13	57	11	99	4343.0	24.8680835104
8	29	52	11	100	3880.33333333	23.7809494992
8	29	57	7	101	4385.66666667	22.9704034947
24	13	57	7	101	4395.66666667	24.6297985145
8	29	59	7	103	4501.0	22.7912003202
8	29	58	11	106	4341.33333333	21.4623021931
6	20	60	21	107	3725.66666667	20.3756796484
8	29	60	11	108	4462.0	19.6678954676
8	34	60	7	109	4535.33333333	23.669266422
8	29	60	14	111	4456.66666667	19.646343947
13	37	60	1	111	4659.0	46.561727195
13	29	60	11	113	4633.0	23.9654882765
16	37	60	1	114	4675.33333333	33.210638439
12	37	60	11	120	4547.66666667	23.2829455009
22	34	60	6	122	4694.66666667	28.9630920007
29	15	60	21	125	4641.66666667	23.8292888062
13	37	60	16	126	4502.66666667	21.5273617052
16	39	60	11	126	4560.33333333	23.5956391116
7	37	60	23	127	4274.0	18.8133219517
22	34	60	11	127	4673.66666667	22.5807684601
8	37	60	23	128	4520.66666667	19.2754847385
20	37	60	23	140	4582.0	22.2935391336
22	39	60	21	142	4560.33333333	21.8976737426
24	37	60	23	144	4593.66666667	22.3609643942
46	39	60	14	159	4612.33333333	22.1252029486
46	39	60	21	166	4573.33333333	21.9109313792
22	58	58	42	180	4461.0	17.8458941971
25	39	60	58	182	4569.0	21.4547629394
