greeter	screener	dispenser	medic	resources	throughput	time	prescreened
4	6	12	13	35	919.3333333	47.13553022	10
1	20	12	5	38	616	28.34499598	10
4	6	25	5	40	1381	38.07937857	10
4	6	25	6	41	1381.333333	38.00089362	10
5	6	25	7	43	1390	40.01411769	10
15	1	27	6	49	1134.666667	33.86532154	10
5	6	38	1	50	1408.666667	51.65412628	10
6	20	21	4	51	1555	44.44624358	10
6	20	21	5	52	1615	38.67781796	10
15	6	25	7	53	1811.666667	35.02758951	10
22	1	27	6	56	1403	27.63154334	10
12	6	38	1	57	1822	47.36904375	10
22	6	25	7	60	1947	31.01645198	10
5	28	27	1	61	2036	50.3794831	10
5	14	36	7	62	2713.333333	25.85666563	10
9	12	41	6	68	2788	32.97820816	10
4	22	39	5	70	2444.333333	24.5397088	10
18	13	38	1	70	2809.666667	47.7883761	10
9	14	41	7	71	2990.666667	31.8935053	10
5	26	41	1	73	3000.333333	33.84654316	10
4	26	39	6	75	2442.666667	24.24592177	10
5	14	36	20	75	2747	25.63624799	10
22	10	38	5	75	2873	26.90739716	10
22	10	38	6	76	2929.666667	25.96594132	10
24	10	38	6	78	2886	25.93306939	10
22	14	41	4	81	3122	31.35647037	10
22	14	41	6	83	3079	27.79712615	10
8	26	46	3	83	3536	41.62836151	10
4	14	52	14	84	2462.666667	23.46072577	10
25	12	41	6	84	3039.666667	26.73603592	10
22	14	41	7	84	3092.666667	27.51022683	10
25	14	41	6	86	3142.666667	29.34693404	10
19	14	52	1	86	3741.333333	48.76049846	10
24	13	50	1	88	3525.333333	35.88698962	10
19	14	52	4	89	3761.333333	26.93400942	10
5	41	37	7	90	2793	24.60813385	10
5	41	39	5	90	2887.666667	24.87027887	10
8	29	52	1	90	3948.333333	44.64773395	10
19	14	52	7	92	3702.666667	22.96740801	10
22	14	52	5	93	3792	23.09630214	10
5	26	41	24	96	3009.666667	22.70276042	10
5	28	57	7	97	3080.333333	22.34491897	10
22	13	57	7	99	3607.666667	22.71078504	10
18	20	57	4	99	4344.666667	33.03405402	10
24	13	57	7	101	3612.666667	22.95218162	10
16	26	60	1	103	4621.333333	43.51880884	10
9	27	58	11	105	4385.333333	21.84654919	10
22	17	58	11	108	4306.333333	20.91981765	10
16	26	60	7	109	4524	28.53466	10
18	20	60	13	111	4606.666667	21.4913586	10
22	20	60	23	125	4523	21.16978691	10
9	39	60	21	129	4545.666667	20.60119924	10
25	39	60	13	137	4643.333333	22.91662779	10
25	39	60	21	145	4630.333333	22.45643303	10
8	58	58	24	148	4414.666667	20.04847783	10
42	26	60	21	149	4611.666667	22.25318876	10
23	59	52	28	162	3999.666667	18.60878871	10
23	58	58	24	163	4459.333333	17.89698957	10
4	8	5	1	18	398.3333333	65.57178241	20
4	6	12	5	27	971	47.93823037	20
4	6	12	7	29	960.3333333	47.87635111	20
1	33	5	1	40	399.6666667	42.85565913	20
4	6	25	6	41	1639.666667	35.82683389	20
4	6	25	7	42	1635.333333	35.80762077	20
7	6	25	6	44	1871.666667	40.70215624	20
5	12	25	6	48	1892	35.74627027	20
15	1	27	6	49	2018	35.52500958	20
8	6	38	1	53	2117.333333	53.2950047	20
22	1	27	6	56	2049.333333	34.3027759	20
12	6	38	1	57	2601	43.22714961	20
24	1	27	6	58	2069.333333	33.09799481	20
13	6	38	1	58	2729.333333	44.86150297	20
13	6	38	4	61	2733.333333	34.8737357	20
18	6	38	1	63	2909	47.35603385	20
20	6	38	1	65	2922.333333	42.38804335	20
15	12	39	1	67	2995.333333	55.00671069	20
8	14	41	6	69	3078	31.04041636	20
18	8	48	1	75	3634.333333	39.7645586	20
18	8	48	3	77	3524	30.92806687	20
20	6	38	14	78	2929.666667	30.60774269	20
5	14	41	19	79	3025	22.84723747	20
6	20	53	1	80	3676	33.40488177	20
18	8	48	7	81	3582.333333	26.89839369	20
5	15	42	21	83	3049.666667	22.38583305	20
5	15	58	7	85	3079.666667	22.04062471	20
5	15	58	11	89	3085	21.99640465	20
20	6	57	6	89	3509.666667	26.36939186	20
8	29	52	1	90	3929.666667	41.27516508	20
24	13	52	1	90	3948.333333	44.03053076	20
18	13	57	3	91	4396	26.05892175	20
7	35	46	6	94	3509.333333	25.5707778	20
18	13	57	7	95	4316.666667	25.40475596	20
24	8	59	6	97	3897.666667	25.199714	20
20	13	57	7	97	4251.666667	25.35257836	20
6	29	52	11	98	3684	20.36066109	20
18	13	57	11	99	4343	24.86808351	20
8	29	52	11	100	3880.333333	23.7809495	20
8	29	57	7	101	4385.666667	22.97040349	20
24	13	57	7	101	4395.666667	24.62979851	20
8	29	59	7	103	4501	22.79120032	20
8	29	58	11	106	4341.333333	21.46230219	20
6	20	60	21	107	3725.666667	20.37567965	20
8	29	60	11	108	4462	19.66789547	20
8	34	60	7	109	4535.333333	23.66926642	20
8	29	60	14	111	4456.666667	19.64634395	20
13	37	60	1	111	4659	46.5617272	20
13	29	60	11	113	4633	23.96548828	20
16	37	60	1	114	4675.333333	33.21063844	20
12	37	60	11	120	4547.666667	23.2829455	20
22	34	60	6	122	4694.666667	28.963092	20
29	15	60	21	125	4641.666667	23.82928881	20
13	37	60	16	126	4502.666667	21.52736171	20
16	39	60	11	126	4560.333333	23.59563911	20
7	37	60	23	127	4274	18.81332195	20
22	34	60	11	127	4673.666667	22.58076846	20
8	37	60	23	128	4520.666667	19.27548474	20
20	37	60	23	140	4582	22.29353913	20
22	39	60	21	142	4560.333333	21.89767374	20
24	37	60	23	144	4593.666667	22.36096439	20
46	39	60	14	159	4612.333333	22.12520295	20
46	39	60	21	166	4573.333333	21.91093138	20
22	58	58	42	180	4461	17.8458942	20
25	39	60	58	182	4569	21.45476294	20
1	20	5	1	27	404.3333333	40.37087474	30
1	6	25	1	33	623.6666667	28.22992755	30
4	6	12	13	35	936.3333333	48.58058823	30
4	6	25	1	36	1805.333333	40.59060522	30
4	6	25	2	37	1831.333333	36.70738801	30
4	6	25	5	40	1826.666667	34.37639199	30
8	6	25	1	40	1876.666667	59.72441509	30
1	20	12	13	46	625	28.26260875	30
15	1	27	4	47	2147.333333	42.49686858	30
1	13	35	6	55	625.3333333	28.23223787	30
24	1	27	4	56	2022.666667	41.413054	30
25	1	27	4	57	2121.333333	40.48781527	30
12	6	38	1	57	2884.666667	46.81695301	30
15	1	39	5	60	2923.333333	35.05404579	30
5	27	27	4	63	2044.666667	33.91925589	30
5	13	35	11	64	2641	25.92276788	30
12	6	47	1	66	3318	37.33934644	30
15	3	46	3	67	3330	33.40478714	30
5	28	35	3	71	2647.333333	29.90257556	30
15	3	55	4	77	3351	32.93224608	30
5	13	57	4	79	3057.333333	22.37803281	30
12	6	57	4	79	3355	34.7302306	30
18	13	47	1	79	3580	51.96962924	30
5	27	46	3	81	3068.333333	26.83367922	30
20	3	55	5	83	4083	27.70175217	30
24	3	55	5	87	4087.333333	27.32634737	30
15	13	57	2	87	4260.666667	45.38995127	30
16	13	57	2	88	4289.666667	37.598718	30
5	13	57	14	89	3057.333333	22.08199218	30
18	13	57	1	89	4298.333333	44.48115518	30
5	34	46	6	91	3082.333333	22.49539321	30
5	27	55	5	92	3081	22.08980168	30
18	13	57	4	92	4346.333333	33.72696477	30
16	13	57	7	93	4321.666667	29.87118173	30
5	26	52	11	94	3078.333333	21.79482325	30
7	35	46	6	94	3478.333333	25.23507897	30
10	13	57	14	94	4208.333333	27.63319672	30
22	13	57	2	94	4371	39.41397285	30
7	35	46	7	95	3460	25.21442692	30
15	20	57	4	96	4359.333333	33.03928543	30
5	28	57	7	97	3079.666667	21.87251355	30
22	13	57	5	97	4326.666667	32.25170599	30
18	13	60	7	98	4564.333333	28.58579654	30
8	29	52	11	100	3938.666667	23.42349868	30
5	26	57	14	102	3082.666667	21.89204104	30
5	29	58	11	103	3084.333333	21.87293802	30
8	29	52	14	103	3953.666667	22.5907915	30
7	35	57	7	106	4225.333333	19.68773966	30
8	29	58	11	106	4379.333333	20.76725333	30
16	26	60	7	109	4590.333333	30.31134357	30
8	26	60	17	111	4503	19.64330741	30
7	35	57	14	113	4216.333333	19.55831022	30
8	29	60	17	114	4572	19.20977659	30
15	29	60	23	127	4580.666667	24.06753668	30
9	39	60	23	131	4613.666667	20.49427679	30
13	37	60	23	133	4643.333333	21.38792135	30
18	51	60	11	140	4695.666667	20.25714225	30
22	51	53	18	144	4103.333333	18.91136715	30
22	41	60	21	144	4666.333333	19.37270477	30
22	58	53	19	152	4014	18.63217882	30
38	51	53	17	159	4082.333333	18.68974472	30
38	51	53	18	160	4029.666667	18.52688114	30
22	58	53	37	170	4043.333333	18.62629575	30
22	58	55	47	182	4153	18.50111165	30
24	58	55	47	184	4181	18.82869302	30
18	51	60	58	187	4622.666667	18.35065089	30
24	58	60	53	195	4582.666667	17.59253938	30
1	1	1	21	24	80.33333333	66.46487421	40
15	1	1	11	28	90	64.20204143	40
1	20	6	11	38	484.6666667	35.33400078	40
4	6	25	7	42	1864.333333	34.13896653	40
8	1	27	6	42	1975	47.52438965	40
15	1	27	6	49	2038.666667	49.0844085	40
15	3	27	6	51	2053.333333	47.35168397	40
1	20	27	6	54	640.6666667	27.97373325	40
8	8	38	1	55	2878	49.88701564	40
9	8	38	1	56	2888	54.90462379	40
24	1	27	6	58	2120.666667	45.06201729	40
4	6	47	7	64	2109.666667	30.82121953	40
20	6	38	1	65	2914	51.07143475	40
5	24	38	1	68	2874.333333	35.31898861	40
24	6	38	1	69	2899	46.60932751	40
15	6	38	11	70	2947	40.97480195	40
15	3	55	2	75	4040.666667	33.94109444	40
9	24	38	5	76	2930.333333	31.26150997	40
5	24	38	11	78	2943.333333	23.4841373	40
15	3	55	5	78	4045.666667	33.94593218	40
7	14	47	11	79	3602.333333	23.97550169	40
15	3	57	7	82	4179.666667	32.82157112	40
20	3	55	5	83	4192.333333	33.20700976	40
5	20	57	4	86	3100.666667	22.18601508	40
24	3	55	5	87	4197.333333	33.02097779	40
24	1	57	7	89	4269.333333	31.88312285	40
13	13	57	7	90	4315.666667	30.99223076	40
5	28	47	11	91	3090.666667	21.82422499	40
5	20	57	11	93	3095.666667	21.73355801	40
8	29	52	4	93	3982.333333	27.06499956	40
24	8	59	2	93	4482.333333	37.55216148	40
17	13	57	7	94	4343.666667	31.68072096	40
22	8	57	7	94	4353.333333	32.10893512	40
18	13	57	7	95	4345.333333	30.85198635	40
6	27	52	11	96	3674.666667	20.60753533	40
20	6	59	11	96	4500.333333	31.28189726	40
6	20	60	11	97	3700.333333	20.61669433	40
18	13	57	11	99	4331.333333	30.85104704	40
8	29	52	11	100	3954.666667	22.94326837	40
8	29	57	7	101	4358.666667	20.6965952	40
24	13	57	7	101	4397.333333	30.45409726	40
24	8	59	11	102	4543.666667	31.38865089	40
18	13	59	16	106	4468.666667	30.51993284	40
7	35	57	11	110	4259	19.24456084	40
16	26	60	11	113	4632	24.11936146	40
7	35	60	14	116	4308	18.91116347	40
23	26	60	11	120	4619.666667	24.0812218	40
16	26	60	21	123	4617.666667	23.93144861	40
18	39	60	13	130	4480.333333	20.04459131	40
19	40	60	13	132	4565	17.74874041	40
13	37	60	23	133	4617	21.37803171	40
18	37	60	23	138	4568.333333	18.4583194	40
46	39	60	21	166	4650.333333	17.33393909	40
22	58	60	32	172	4651	17.41620916	40
9	12	5	1	27	393	68.62050109	50
6	15	5	2	28	413	52.29421005	50
1	1	27	6	35	510.6666667	39.24698202	50
4	6	25	7	42	1925	31.72782735	50
6	6	27	6	45	2082	41.08317722	50
1	20	26	1	48	615	31.24797827	50
15	1	27	6	49	2105.333333	49.96339754	50
