greeter	screener	dispenser	medic	resources	throughput	time
1	1	1	1	4	0.666666666667	12.2832807716
3	1	1	1	6	3.0	15.6338522785
4	1	1	1	7	4.33333333333	20.6735954152
7	1	1	1	10	7.66666666667	20.1393973519
9	1	1	1	12	10.0	21.2735871553
12	1	1	1	15	11.0	18.1985768162
13	1	1	1	16	13.6666666667	20.9445416429
17	1	1	1	20	18.3333333333	19.4172112481
18	1	2	1	22	19.3333333333	19.4254952603
18	1	3	1	23	19.6666666667	20.005715649
22	1	1	1	25	23.3333333333	19.7428552896
22	1	2	1	26	24.0	19.7070030824
27	1	1	1	30	25.3333333333	19.0361084465
27	1	2	1	31	28.0	19.9402406559
27	1	3	1	32	29.3333333333	19.7384218188
31	1	1	1	34	32.6666666667	19.5564055189
34	1	1	1	37	32.6666666667	18.3477494374
34	1	3	1	39	34.6666666667	18.5309249981
37	1	1	1	40	37.6666666667	21.077988674
37	1	2	1	41	40.6666666667	19.6660173323
39	1	1	1	42	41.6666666667	20.2753814097
39	1	3	1	44	42.3333333333	19.1915944009
41	1	2	1	45	47.0	19.9182236289
45	1	2	1	49	47.6666666667	18.9236269721
