greeter	screener	dispenser	medic	resources	throughput	time
7	3	5	1	16	399.666666667	38.5989961067
8	3	12	1	24	714.0	27.7407776067
12	2	12	1	27	873.0	32.4217885349
12	2	15	1	30	1049.33333333	27.2758579708
16	1	15	1	33	1107.0	32.3987005919
17	1	15	1	34	1146.33333333	32.5081266758
18	1	15	1	35	1154.0	33.9210953181
16	1	20	1	38	1434.66666667	26.3409442802
17	1	20	1	39	1465.33333333	26.7004050805
18	1	20	1	40	1466.0	28.2502068987
17	1	23	1	42	1503.33333333	25.9980769239
18	1	23	1	43	1581.0	26.0281913574
18	1	26	1	46	1581.66666667	25.957422606
22	1	24	1	48	1792.33333333	27.331284104
22	1	26	1	50	1876.0	25.8943696099
23	2	26	1	52	1960.0	25.7124591559
23	1	28	1	53	2031.33333333	24.9173910679
24	1	28	1	54	2086.66666667	24.9790830662
24	1	31	1	57	2121.66666667	24.405062205
29	1	28	1	59	2143.66666667	28.2971282759
28	1	31	1	61	2326.33333333	25.4742965863
28	1	32	1	62	2344.0	25.3040078805
29	1	32	1	63	2366.0	25.0536307446
28	1	34	1	64	2460.66666667	23.7740546158
30	2	34	1	67	2492.66666667	24.6854849022
30	1	34	2	67	2492.66666667	24.6854849022
29	1	41	1	72	2563.33333333	23.3583407208
30	3	39	1	73	2637.33333333	23.1432843337
31	1	41	1	74	2740.66666667	22.8541509373
34	3	39	1	77	2865.0	23.1111508762
34	2	41	1	78	3014.33333333	22.3623109853
37	2	41	1	81	3019.0	23.4421746345
36	3	43	1	83	3132.0	22.1225717031
37	3	43	1	84	3201.66666667	21.9831323578
37	3	45	1	86	3268.0	21.6046846133
41	3	44	1	89	3270.0	23.3991766978
41	4	45	1	91	3339.33333333	22.7714919159
